Uttara 1
Sabujbagh
Tejgaon
Tejgaon Industrial Area
Begunbari
Kunipara
Nakhalpara
Arjatpara
Civil Aviation Staff Quarters
Boromagbazar
Dilurod
New Eskaton Road
West Magbazar
Madhya Peyarabagh
Greenway
North Nayatola
North Nayatola 1st Part
Mirertech 
Mirbagh
Madhubag
North Nayatola 2nd Part
East Nayatola
South Nayatola
Magbazar
Magbazar Wireless Colony
Golartech
Dayabari
Chhota Dayabari
Boro Dayabari
Zahurabad
Anandnagar
Kotbari
Charani Para
Baroanipara
Bagbari
Harirampur
Kar Bazar
Jahanabad
Ishipara
Rbadhan Bari
Gabtali Bus Terminal
Gabtali Bazar
Gabtali Bazar
Gabtali Kacha Bazar
Mazar Road
Mirpur Road
Mirpur Road 1st Colony 
Mirpur Road 2nd Colony
Mirpur Road 3rd Colony
Darussalam Area
Gaidartek
Lalkuthi
Baten Nagar
Baten Nagar Residential Area
Kalyanpur
Paikpara
Madhya Paikpara
Darussalam Road
Ahmednagar
Shahalibagh
Bishil
South Bishil
Paikpara
Tolarbagh 
Tolarbagh North
Tolarbagh Central
Tolarbagh South
Borobagh
Manipur
Pirerbagh
Pirerbagh North
Pirerbagh South
Pirerbagh West 
Pirerbagh East
Shewrapara
Shewrapara West
Shewrapara Central
Rokeya Smarani
Senpara Parbata
Kazipara
Kazipara West
Kazipara East
Shewrapara East
Kafrul
North Kafrul
South Kafrul
West Kafrul 
Taltala
Ibrahimpur
Kachukhet
Karwan Bazar
Karwan Bazar Commercial Area
Kazi Nazrul Islam Avenue 
Farmgate
Green Road
Tejturi Bazar
Tejturi Bazar East
Tejturi Bazar West
Station Road
Tejkunipara 
Shaheed Bir Uttam Ziaur Rahman Road
Bashundhara City Market
Testuri Bazar Chowk
Testuri Bazar Chowk Len
Sajal Square
Green Road
Bir Uttam KM 
Shafiullah Road
Manipuri Para
Bir Uttam Shaheed Ziaur Rahman Road
Shyamoli Bagh
Agargaon
West Agargaon
Agargaon Administrative Area
Mohammadpur Block C
Taj Mahal Road Block F
Shahjahan Road
Metropolitan Housing
Co-operative Housing Society
Mohpur Block F
Juhuri Mahalla
Baitul Aman Housing
Pisciculture Housing
Naboday Housing
Prominent Panthshala Housing
Turag Housing
Akkach Housing
Beribadh Ibne sina Housing
Ekta Housing
Adabor
Uttar Adabor
Mohammadpur
Mofiz Housing
Mehedi Bagh
Mehedi Bagh Housing
Unique Housing
Adarsh Chayanir
Mohammadpur Housing
Adabar
Secretech
Azam Road
Asad Avenue
Razia Sultana Road
Taj Mahal Road
Shera Shahsuri Road
Nurjahan Road
Zakir Hossain Road
Shahjahan Road
Aurangzeb Road
Kazi Nazrul Islam Road
Kazi Nazrul Islam Road Block E
Lalmatia Block A
Lalmatia Block B
Lalmatia Block C
Lalmatia Block D
Lalmatia Block E
Laamatia Block F
Lalmatia Block G
Sir Syed Road
Humayun Road
Babar Road
Iqbal Road
Aurangzeb Road
Khilji Road
Asad Avenue
Mohpur Colony
Md. Pur Co-operative Housing Society Ltd. Block-A
Ghaznabi Road
Lalmatia Housing Estate New Colony
Mohammadia Housing Limited
Mohammadia Housing Society
Kaderabad Housing Estate
Katasur
Bashbari
Chanmia Housing
Chand Housing
Chand Udyan Bachila
Bachila Road
Nabinagar Housing
Dhaka Udyan
Dhaka S&L. Town 
Beri Dam
Bochila Model Town
Chandrima Model Town
Bochila City Developers
Satmasjid Housing Cooperative Society Ltd.
Japan Garden City
Bijnibivar Housing
Naboday Housing
Brothers
Future Town
Latif Real House
Dhanmondi
West Dhanmondi
Mother Care Hospital
Sultanganj
Rayer Bazar
Rayer Bazar East
Zafarabad
Metro Housing
Bailjuri
Bailjuri
Baunia
Dalipara
Ahalia
Pakuria
Badaldi
Uludaha
Chandura
Tafalia
Mandura
Sholahati
Nalbhog
Nayanagar
Shukrabhanga
Dharangartech
Purankalia
Sheikhdirtek
Diabari
Tarartek
Nimtalirtek
Chandalbhog
Ranavola
Fulbaria
Dhur
Bamnartech
Roshadia
Kamarpara
Kaliartech
Khairtech
Bhatulia
Nayanichala
Rajabari
Dhour
Ashutia
Gram Bhatulia
Faidabad
Kotbari
Moushair
Chalaban
Dakshin Khan
Sonar Khola
Halan
Anal
Barua 
Jamun
Kawlar
Ashkona
Gawair
Mollartek
Irshal
Azampur
Amaiya
Barbari
Chamurkhan
Kanchkura
Snanghata
Bhaturia
Palashia
Chhota Palashia
Poradia
Ratuti
Varardi
Aktertek
Bauthar
Betuli
Karim’s Bagh 
Dobadia
Uttarkhan
Babur Para
Barbagh
Oja Para
Rajabari
Munda
Poolar Tech
Bhatulia
Mausaid
Baduri Para
Chanpara
Faujarbari
Gobindpur
Khanjurdia
Kumud Khola
Mainartech
Ninnirtek
Noakhola
Sauwartek
Nurerchala
Nurerchala West
Nurerchala East
KhilbariTech
KhilbariTech West 
KhilbariTech East
Bhatara
Chholmaid
Nayanagar
Nayanagar North
Nayanagar South
Talna
Dhelna
Nakuni
Manjertech
Mastul
Patira
Dumni
Kanthaldia
Bagdia
Amdia
Daokandi
Tekpara Badda
Sona Katra
Sekandarbagh
Madhya Badda
Mollapara
Beparipara
Badda Post Office Road
Louhertech
Madhyapara
Mollapara
Mollapara Adarsh Nagar
Uttar Badda
Uttar Badda Purbapara
Uttar Badda Mainartek
Bawalipara
Abdullahbagh
Uttar Badda Mishri Tola
Uttar Badda Hajipara
Pukurpara
Dakshinpara
Taltola
Uttarpara West
Uttarpara East
Panchkhola
Merulkhola
Magardia
Padardia
East Padardia
West Padardia
Boro Beraid
Boro Beraid Purbapara
Boro Beraid Bhuiyanpara
Boro Beraid Rishipara
Boro Beraid Araddapara
Chhota Beraid Dagardia
Ashkartek
Chandertek
Panchdirtek
Harardia
Boro Beraid
Boro Beraid Moralpara North
Boro Beraid Moralpara South
Boro Beraid Agarpara
Boro Beraid Chatkipara
Boro Beraid Chinadipara
Fakirkhali
Dhanmondi R / A
Dhanmondi Staff Quarters
East Rayer Bazar 
East Rayer Bazar Eidgah Road
Sher-e-Bangla Road 
Mitali Road
Haji Afsaruddin Road
Hatembagh
Kathalbagan
Free School Street Kathalbagan 
North Road
Circular Road
Green Corner
Green Square 
Green Road
Green Road East
West End Street 
West Street
Al Amin Road
North Circular Road
Hatirpool
Free School Street (Hatirpool)
Crescent Road
Lake Circus North Dhanmondi
Abeddhali Road
Bashir Uddin Road
North Dhanmondi
Kalabagan
Green Road West
Green Road Staff Quarters
Tallabagh
Shukrabad
Sobhanbagh
Nilkhet
Nilkhet Babupura
Institute of Social Welfare and Research
Ayub Ali Colony
Rahim Square
Bangladesh-Kuwait Friendship Hall
Central Road
Naeem Nair Road
T.T. College
Govt Laboratory School
Dhaka College
Science Laboratory Staff Quarters
Elephant Road
Mirpur Road
New Elephant Road
BDR Peelkhana
Mintu Road
Kakrail
Circuit House Road
Siddheswari Road
Maghbazar Ispahani Colony
New Eskaton Road
Eskaton Garden Road
Aminabad Colony
Bailey Road 
West Malibagh
Teak Garden
Topkhana Road
Bangabandhu Avenue
Rest House
T. B. Clinic Area
Dhaka Medical College Hospital
HC Staff Quarters
Suhrawardy Udyan
Fulbaria Station East Area
West Fulbaria
Secretariat Road
Abdul Gani Road 
Secretariat Staff Quarters
West Old Railway Colony
Railway Hospital Area
Toynbee Circular Road
Ramna Green House
University of Engineering and Residential Area
Nazrul Islam Hall
Ahsan Ullah Hall
Titumir Hall
Dhaka Medical College Hostel (Fazle Rabbi Hall)
Sher-e-Bangla Hall (University of Engineering)
Suhrawardy Hall (University of Engineering) 
Shahidullah Hall (Dhaka University)
Fazlul Haque Hall
Dr. MA Rashid Hall
Shahid Smriti Hall
University of Engineering Student Hall
Shahbag
Dhaka University Residential Area 
Zahurul Haq Hall (Dhaka University)
Salimullah Hall
Sir AF Rahman Hall
Shamsun Nahar Hall
Jagannath Hall
Jasim Uddin Hall (Dhaka University)
Freedom Fighter Ziaur Rahman Hall
Suryasen Hall
Haji Mohammad Mohsin Hall
Bangabandhu Sheikh Mojibur Rahman Hall
Mymensingh Lane
Mymensingh Road
P.G. Institute
National Museum Officers Quarters
P.G. Hospital & Central Public Library
Habibullah Road
International Hostel
Rokeya Hall
Paribagh Shah Saheb Road
Khilgaon
Khilgaon Block A
Khilgaon Block C
Khilgaon Colony C
Goran
Meradia
East Basabo
West Basabo
North Basabo
South Basabo
North-East Basabo
Central Basabo
Basabo Wahab Colony
Mothertech
Mayakanan
Sabujbagh
North Mugdapara Deputy Colony
Ahmedbagh
Rajarbagh North and South
Kadamtala Basabo
East Basabo
Mugdapara
Bangladesh Bank Colony
Sonali Bank Colony
R.K. Mission Road Gopi Bagh
Kamalapur
Motijheel
B Railway Barracks
Arambagh
Fakirapul
Fakirapul Bazar Area
Motijheel C / A
Dilkusha C / A
Bangabhaban
Motijheel Colony 
Motijheel Colony Hospital Zone 
Motijheel Colony Al Helal Zone
Motijheel Colony Ideal Zone 
Motijheel Colony H Type Quarter
Postal Colony
T&T Colony
Bangladesh Bank Colony
Shahjahanpur
Shahjahanpur Railway Colony
South Khilgaon
Khilgaon Bagicha
Shahidbagh
Momenbagh
Outer Circular Road
Malibagh Bazar Road
Malibagh
Bakshi Bagh
Gulbagh
Shantibagh
Indrapuri
Chameli Bagh
Aminbagh
Rajarbagh Police Line
Purana Paltan GPO
Baitul Mukarram Stadium
Outer Stadium
Bijoy Nagar
Naya Paltan
Purana Paltan Line
Traffic Police Barracks
Police Hospital 
Police Hospital Field C 
Police Hospital Field B 
Shantinagar
Shantinagar Market Area
Birban Kachra
Gajmahal Road
Hazaribagh Tannery Area
Jigatala (Tin Majar)
South Sultanganj
Sonatnagar (Moneshwar)
Jigatala Staff Quarters
Maneshwar (Jigatala)
Shikaritola
Moneshwar
Tallabagh
Mitali Road
Charakghata Tallabagh
Tali Office Road
South Madhubazar
Baddanagar Lane
Borhanpur Lane
Kulal Mahal Lane
Kazirbagh Lane
Nabipur Lane
Hazaribagh Lane
Hazaribagh Road
Kalu Nagar
Enayetganj
Ganakatuli
Bhangi Colony
Nilambar Saha Road
Bhagalpur Lane
Lalbagh Road
Medical Staff Quarters
BDR Gate No. 1
Kashmiri Tola Lane
Hossain Uddin Khan Lane
Duri Angul Lane
Nawabganj Road
Nawabganj Lane
Abdul Aziz Lane
Lalit Mohan Das Lane
M. C Roy Road
New Paltan Line
Pilkhana Road
Jagannath Saha Road
Shahid Nagar
Raj Narayan Dhar Road
Jagannath Saha Road
Kazi Riaz Uddin Road
Lalbagh Fort and Pushparaj Saha Road
Atosh Khan Lane
Rajshree Nath Street
Harmohan Sheel Street
Gangaram Rajar Lane
Lalbagh Road
Nagar Beltali Lane
Sheikh Saheb Bazar
Azimpur Road
Azimpur Estate
Palashi Barracks West 
Palashi Barracks South
Eden Women’s College Hostel 
Staff Quarters
Home Economics College
BC Das Street
Nilkhet Government Bazar
Dhakeswari Road
Hosni Dalan Road
Orphanage Road
Kamal Dah Road
Nazimuddin Road
Girda Urdu Road
Joynag Road
Bakshi Bazar Road
Bakshi Bazar Lane
Amla Para City Road
Tatkhana Lane
Umesh Dutt Road
Noor Fata Lane
Palashi Fire Service Station
KB Rudra Road
Urdu Road
Gaur Sundar Roy Lane
Haider Box Lane
Khaje Dewan 1st Lane
Khaje Dewan 2nd Lane
Chalk Circular Road
Azgar Lane
Harnath Ghosh Road
Harnath Ghosh Lane
Khaje Dal Singh Lane
Nanda Kumar Dutt Road
Islambagh
Shaista Khan Road
Rahmatganj Lane
Haji Rahim Box Lane
Water Works Road
Haji Balu Road
Gani Mia Hat
Foria Patti
Jhauchar
Jhaulahati
Nayagaon
Hasan Nagar
Munshihati
Munshihati River Crossing
Munsurbagh
Sirajnagar
Nabinagar
Taker Hati
Aminbagh
West Rasulpur
East Rasulpur
South Rasulpur
Borogram West
Borogram
Islamnagar
Alinagar
Huzurpara
West Ashrafabad
Ahsanbagh
Mominbagh
Ashrafabad
Dukhuria
Jungle House
Comilla Para
Rahmatbagh
Bagchan Kha (West)
Bagchan Kha (East)
Rafiqul Islam Road
Monir Chairman Goli (South)
Bagchan Khan (East)
North Monir Chairman Alley
Haslai
Muslimbagh
Hakim Habibur Rahman Road
Rubber Bose Street
Sowari Ghat East and West
Rui Hatra
Boro Katara
Chhoto Katara
Devidas Ghat Lane
Committee Ganj
Champatli Lane
Jummam Bepari Lane
Rajni Bose Lane
Roy Ishwar Chandra Sheel Bahadur Street
Jadav Narayandas Lane
Imamganj
Midford Road
Maulvi Bazar
Azizullah Road
Begum Bazar
Abul Hasnat Road
Padmalochan Roy Lane
K. M. Azam Lane
Noor Box Lane
Ali Hossain Khan Road
Nabalak Mia Lane
Armenium Street
Abul Khairat Road
Kedar Nath De Lane
Aga Nawab Deuri
Becharam Deuri
Hafiz Ullah Road
Golam Mostafa Lane
D. C. Roy Road
Saratchandra Chakraborty Road
A. C. Roy Road
District Road
Digu Babu Lane
Makim Katara
B. K. Roy Lane
Central Jail
Jogendra Narayan Shil Street
Bangshal Road
KP Ghosh Street
Kasaituli
Govinda Das Lane
Syed Hasan Ali Lane
PK Roy Lane
Haji A. Rashid Lane
Roy Bahadur Ishwar Chandra Ghosh Street
Kazi Zia Uddin Road
Samsabad Lane
Shahzada Mia Lane
Gopi Nath Dutt Kabiraj Street
Harni Street
Bagdasa Lane
Haybat Nagar Lane Saratchakravarti Road
Kazi Muddin Siddiqui Khan Lane
Akmal Khan Road
Zindabahar Lane
Zumrail Lane
Bangshal Road
Neki Deuri
Abdul Hadi Lane
Nawab Katara
Chankhar Pool Lane
Agamsih Lane
Shikkatuli Lane
Aga Sadeq Road
Ganguly Lane
Abul Hasnat Road
Siddique Bazar
Tekerhat Hat Lane
Nawabpur Road
Haji Osman Gani Road
Nazira Bazar Lane
Lutfar Rahman Lane
Kazi Abdul Hamid Lane
Kazi Ala Uddin Road
Fulbaria Old Railway Station
Malitola Lane
Malitola Road
Golak Pal Lane
Ananda Mehan Basak Lane 
Basabari Lane
Vitarbari Lane
Goal Nagar Lane
English Road
Purana Mogaltuli
Nawab Yusuf Road
Nawabpur Road
Haji Abdullah Sarkar Lane
French Road
Haji Moinuddin Road
Nayabazar Sweeper Colony
Ashek Lane
Badhika Mohan Basak Lane
Hari Prasanna Mitra Road
Syed Awlad Hossain Lane
Court House Street
Uchhab Poddar Lane
Prasanna Poddar Lane
Rakhal Chandra Basak Lane
Bashicharan Sen Poddar Lane Islampur
Noboray Lane
Kailash Ghosh Lane
Shakhari Bazar
Rajar Deuri
Judge Court
D.C Court and Roy Saheb Bazar
Ahsan Ullah Road
Kabiraj Lane
G. El Garth Lane
Simson Road
Patuatuli Road
Islampur
Patuatuli Lane
Kumartuli Lane
Liaquat Avenue
Northbrook Hall Road
Waise Ghat
Ramakanta Nandi Lane
PK Roy Road 
Bangla Bazar
Chittaranjan Avenue
Hawkers Market
Shankhari Bazar
Madan Mohan Basak Road
Lalchan Makim Lane
Gopi Bishan Lane
Gopi Mohan Basak Lane
Taher Bagh Lane
Shashi Mohan Basak Lane 
Goal Ghat Lane
Muchi Para
Narendra Nath Basak Lane
Nawabpur Road
BCC Road
Kaptan Bazar
Juriatuli Lane
Jadunath Basak Lane
Banagram Road
Mahajanpur Lane
Banagram Lane
Jogi Nagar Road & Lane
Chandranath Basak Street
Madan Pal Lane
Kunj Babu Road
Govinda Dutt Lane
Raghunath Das Lane
Rokanpur Lane
Panch Bhai Ghat Lane
Nasir Uddin Sardar Lane
Karkunbari Lane
Johnson Road
Kazi Abdur Rauf Road
Nandalal Dutt Lane
Navadwip Basak Lane
Rajchandra Munsi Bons Avenue
Lakshmi Bazar
Haji Majid Lane
Shyama Prasad Chowdhury Lane
Ruplal Das Lane
Patalkhan Lane
Farashganj Lane
Farashganj Road
Ultiganj Lane
Malakar Tola Lane
North Brock Hall Road
Madan Sahlen
Ishwar Das Lane
Harish Chandra Basu Street
Pratap Das Lane
BK Das Road
KG Gupta Lane
Joychandra Ghosh Lane
Paridas Road
Gopal Saha Lane
Mohini Mohan Das Lane
Purna Chandra Banerjee Lane
Rupchan Lane
Munshi Hari Mohan Das Lane
Anand Mohan Das Lane
Srish Das Lane
Hemendra Das Lane
Divendra Das Lane
Shuklal Das Lane
Manik Nagar
Manik Nagar Miyazan Lane
Kazirbagh
KM Das Lane
Abhaydas Lane
Toynbee Circular Road
Joykali Mandir Road 
Bhagwati Banerjee Road
Folder Street
Hatkhola Road
R. K. Mission Road
Dayaganj Road
Dayaganj Hatlen
Dayaganj Jalepara
Narinda Lane
Narinda Road
Saratgupta Road
Basu Bazar Lane
Munir Hossain Lane
Shah Saheb Lane
Methrapatri 
Methrapatri North 
Methrapatri South
Gurudas Sarkar Lane
Karatitola Lane
Swamibagh Lane
Swamibagh New Slum
Swamibagh Lane
Lalmohan Shah Street
Bhajahari Saha Street
South Masundi
Wari Street
Joykali Mandir Road
Nawab Street
Madan Mohan Basak Road
Tipu Sultan Road
Padma Nidhi Lane
Hari Street Land 
Auxen Lane
Narinda Road
Jorpul Lane Folder Street
Chandi Charan Bose Street
Hatkhola Road
Baldha House
Larmini Street 
Randha-Shyam Saha Street
Kather Pool Lane
Thakurdas Lane
Justice Lalmohan Das Lane
Rishikosh Das Road
Begumganj Lane
Municipal Staff Quarter
Tanuganj Lane
Walter Road
Rebati Mohan Das Road
Distrillery Road
Deen Nath Sen Road
Keshab Banerjee Road
Shashibhushan Chatterjee Lane
Rajni Chowdhury Road
Former Sarafat Ganj Lane
Satyendra Kumar Das Road
Mill Barracks
Police Line
Keshab Banerjee Road
Akshay Das Lane
Shankhari Nagar Lane
Haricharan Roy Road
Alamganj Road
Dhalkanagar Lane
Satish Sarkar Road
Lal Mohan Poddar Lane
Postagola; Dhaka Cotton Mills
Haricharan Roy Road
Bahadurpur Lane
Gandaria RAJUK Plots 1 
Gandaria RAJUK Plots 2
Nabin Chandra Gombasi Road
Faridabad Lane
Bangladesh Bank Colony
Dhalka Nagar Lane
Sayedabad
North Jatrabari 1
North Jatrabari  2
Brahman Chiran
Dhalpur
West Jatrabari
North-West Jatrabari
North Jatrabari
South-East Jatrabari
Wapda Colony
South Jatrabari
Mir Hazaribagh
Dholai Par
Gandaria
Muradpur 1
Muradpur 2
Muradpur 3
Muradpur 4
Jurain
West Jurain
Karim Ullarbagh
New Jurain Alam Bagh
West Jurain
Deilla
Paiti
Kayetpara
Thulthulia
Khalapara
Tamburabad
Nalchhata
Dhitpur
Durgapur
Mendipur
Amulia
Shunya
Shunya Tengra
Nandipara
West Nandipara
Rasulbagh
North Nandipara
Nandipara
Central Nandipara
Nandipara School Road
Imambagh
East Nandipara
Newazbagh
Nandipara Bank Colony
Idarkandi
Fakir Khali
Balur Par
Babu’s Place
Daserkandi
Jorvita
Trimohoni Purbapara
Lion Hati
Trimohoni
Imambagh
Uttargaon
Trimohoni Tekpara
Trimohoni 6th Ward
Gournagar Islambagh
Nasirabad
Green Model Town
Kazi Bari
Danaber Alley
Hiru Mia Road
Lal Mia Road
Manda Khal
Sona Mia Road
Gani Mistry Road
Jale Para Road
Green Model Town
Nandipara Bazar
Dakshingaon Nayabagh
Kusumbag
Dakshingaon Paschimpara
Dakshingaon
Dakshingaon Daspara
Dakshingaon 7 Road
Dakshingaon Shahibaug
Begunbari
Manikdia
Uttar Manikdia
Chairmanbari
Vaigdia
Dogair 
Bamail
Shakursi Joka
Sandira Joka Titas Colony
East West Boxnagar
Karim Colony
Sarulia Tengra South
Sarulia Tengra West
Outer Sarulia Tengra
Sarulia Tengra 
Karim Jute Mills Area
Gop South Haji Nagar 
Rasul Nagar
Kamar Gop Khalapara
Kamar Gop Dakshin
Demra
Ahmed Bawani Textile Mill
Latif Bawani Jute Mill
Naraibagh
Mirpara
Rajakhali
North Kutubkhali
South Kajla
South Kajla Nayangan
Sontek
Shekhadi
Gobindpur
North Rayerbagh
Kajlar Par
Bhanga Press
Kazirgaon
Matuail Paschimpara
Matuail Majhpara
Matuail Uttarpara
Matuail Sharif Para
Konapara
Old Parad Gair
IR Tubes Factory
Dharmik Para
City Mills
Mallikpara
Para Dogar New Para
Momen Bagh
Adarshbagh
Rahmatpur
Madhubagh
Muslimnagar
Mughal Nagar
Khuriapara
Kerani Para
Dakshin Para
Bhuiyan Bari
Khanbari
Rayer Bagh
Hashem Road
Rayerbagh Khanka
Matuail Medical
Saddam Market
Tushardhara
Bishwar Road
Kadamtali
Kadamtali Industrial Area-1
New Kadamtali
New Shampur
Afsar Karim Road
Bau-Bazar
Gas Pipe
Nama Shampur
Bagan Bari Bagicha
New WASA Road
Ali Bahr
Rajabari
Natun Ali Bahr 
Bikrampur Housing
Chakdah
Dhaka Match
RAJUK 2nd phase
WASA Colony
Munshikhola Oil Mill
East Kadamtali
Mohammadbagh
Merajnagar
Nurpur-1
Nurpur-2
Paterbagh
Muktadhara
Islambagh 
Rasulbagh
Rahmatbagh
Shahjalalbagh
Palashpur
Jantabagh
Smritidhara
South Rayerbagh
Doniya
Merajnagar
Madinabagh
South Jantabagh
Nurbagh
Old Doniya 1
Old Doniya 2
South Doniya 1
South Doniya 2
Saraim South Qutubkhali
Kabirajbagh
Rasulpru 
Daspara
Nayapara
North Doniya
Dhaka Cantonment
Bashundhara Residential Area
