Dhanmondi R / A
Hazaribagh Lane
Hazaribagh Road
Kalu Nagar
Enayetganj
Ganakatuli
Bhangi Colony
Nilambar Saha Road
Bhagalpur Lane
Lalbagh Road (Holding No. 156-257)
Medical Staff Quarters to BDR Gate No. 1
Kashmiri Tola Lane
Hossain Uddin Khan Lane
Duri Angul Lane
Nawabganj Road
Nawabganj Lane
Abdul Aziz Lane
Lalit Mohan Das Lane
M. C Roy Road
New Paltan Line
Pilkhana Road
Jagannath Saha Road
Shahid Nagar
Raj Narayan Dhar Road
Kazi Riaz Uddin Road
Lalbagh Fort and Pushparaj Saha Road
Atosh Khan Lane
Rajshree Nath Street
Harmohan Sheel Street
Gangaram Rajar Lane
Lalbagh Road (Holding No. 48-157 and 257-325/1)
Nagar Beltali Lane
Sheikh Saheb Bazar
Azimpur Road (Holding No. 1-18)
Azimpur Estate
Palashi Barracks West & South
Eden Women’s College Hostel Staff Quarters and Home Economics College
BC Das Street
Nilkhet Government Bazar (Azimpur)
Lalbagh Road (Holding No. 1- 48 and 156-199)
Dhakeswari Road
Hosni Dalan Road
Orphanage Road
Kamal Dah Road
Nazimuddin Road (Holding No. 1 – 124)
Girda Urdu Road
Joynag Road
Bakshi Bazar Road
Bakshi Bazar Lane
Amla Para City Road
Tatkhana Lane
Umesh Dutt Road
Noor Fata Lane
Palashi Fire Service Station
KB Rudra Road
Urdu Road
Gaur Sundar Roy Lane
Haider Box Lane
Khaje Dewan 1st and 2nd Lane
Chalk Circular Road
Azgar Lane
Harnath Ghosh Road
Harnath Ghosh Lane
Khaje Dal Singh Lane
Nanda Kumar Dutt Road
Islambagh
Shaista Khan Road
Rahmatganj Lane
Haji Rahim Box Lane
Water Works Road
Haji Balu Road
Gani Mia Hat
Foria Patti 
Jhauchar
Jhaulahati
Nayagaon
Hasan Nagar
Munshihati
Munshihati River Crossing
Munsurbagh
Sirajnagar
Nabinagar
Taker Hati
Aminbagh
West Rasulpur
East Rasulpur
South Rasulpur
Borogram West
Borogram
Islamnagar
Alinagar
Huzurpara
West Ashrafabad
Ahsanbagh
Mominbagh
Ashrafabad
Dukhuria
Jungle House
Comilla Para
Rahmatbagh
Bagchan Kha (West)
Bagchan Kha (East) (partial
1st part) ATM Booth Goli-Bhasha Andolon School-Rafiqul Islam Road
Monir Chairman Goli (South)
Bagchan Khan (East) (partial
2nd part) ATM Booth Goli-Bhasha Andolon Goli-Rafiqul Islam Road
North of Monir Chairman Alley
Haslai
Muslimbagh
Hakim Habibur Rahman Road
Rubber Bose Street
Sowari Ghat East and West
Rui Hatra
Boro Katara
Chhoto Katara
Devidas Ghat Lane
Committee Ganj
Champatli Lane
Jummam Bepari Lane
Rajni Bose Lane
Roy Ishwar Chandra Sheel Bahadur Street
Jadav Narayandas Lane
Imamganj
Metford Road
Maulvi Bazar
Azizullah Road
Begum Bazar
Abul Hasnat Road
Padmalochan Roy Lane
K. M. Azam Lane
Noor Box Lane
Ali Hossain Khan Road
Nabalak Mia Lane
Armenium Street
Abul Khairat Road
Kedar Nath De Lane
Aga Nawab Deuri
Becharam Deuri
Hafiz Ullah Road
Golam Mostafa Lane
D. C. Roy Road
Saratchandra Chakraborty Road
A. C. Roy Road
District Road
Digu Babu Lane
Makim Katara
B. K. Roy Lane
Central Jail
Jogendra Narayan Shil Street.
Bangshal Road (Holding No. 43 / 1-108)
KP Ghosh Street
Kasaituli
Govinda Das Lane
Syed Hasan Ali Lane
PK Roy Lane
Haji A. Rashid Lane
Roy Bahadur Ishwar Chandra Ghosh Street
Kazi Zia Uddin Road
Samsabad Lane
Shahzada Mia Lane
Gopi Nath Dutt Kabiraj Street and Harni Street
Bagdasa Lane
Haybat Nagar Lane Saratchakravarti Road (Holding No. 17-103)
Kazi Muddin Siddiqui Khan Lane
Akmal Khan Road
Zindabahar Lane
Zumrail Lane
Bangshal Road (Holding No. 109-207 / 1)
Ali
Neki Deuri
Abdul Hadi Lane
Nawab Katara
Chankhar Pool Lane
Agamsih Lane (Holding No. 1-15)
Shikkatuli Lane
Aga Sadeq Road
BK 
Ganguly Lane
Abul Hasnat Road
Siddique Bazar
Tekerhat Hat Lane
Nawabpur Road (Holding No. 144-222)
Haji Osman Gani Road (Holding No. 1 to 175)
Nazira Bazar Lane
Lutfar Rahman Lane
Kazi Abdul Hamid Lane
Kazi Ala Uddin Road
Fulbaria Old Railway Station (Kotwali part)
Malitola Lane
Malitola Road
Bangshal Road (Holding No. 1-42
211 – 267)
Bangshal Lane
Golak Pal Lane
Ananda Mehan Basak Lane (Basabari Lane)
Vitarbari Lane
Goal Nagar Lane
English Road
Purana Mogaltuli
Nawab Yusuf Road
Nawabpur Road (Holding No. 226-282)
Haji Abdullah Sarkar Lane
French Road
Haji Moinuddin Road
Nayabazar Sweeper Colony
Ashek Lane
Badhika Mohan Basak Lane
Hari Prasanna Mitra Road
Syed Awlad Hossain Lane
Court House Street
Uchhab Poddar Lane
Prasanna Poddar Lane
Rakhal Chandra Basak Lane
Bashicharan Sen Poddar Lane Islampur (Holding No. 53 – 117 /2/3)
Noboray Lane
Kailash Ghosh Lane
Shakhari Bazar (Holding No. 1-65)
Rajar Deuri
Judge Court
D.C Court and Roy Saheb Bazar
Ahsan Ullah Road
Kabiraj Lane
G. El Garth Lane
Simson Road
Patuatuli Road
Islampur (Holding No. 1-52)
Patuatuli Lane
Kumartuli Lane
Liaquat Avenue
Northbrook Hall Road (Holding No. 1-38)
Waise Ghat
Ramakanta Nandi Lane
PK Roy Road (Bangla Bazar)
Chittaranjan Avenue
Hawkers Market
Shankhari Bazar (Holding No. 66-142)
Madan Mohan Basak Road (Holding No. 1-15 / 2 and ending at 36)
Lalchan Makim Lane
Gopi Bishan Lane
Gopi Mohan Basak Lane (Holding No. 1-35)
Taher Bagh Lane
Shashi Mohan Basak Lane Goal Ghat Lane
Muchi Para
Narendra Nath Basak Lane
Nawabpur Road (Holding No. 1-143)
BCC Road (Holding No. 1-134)
Kaptan Bazar (Holding No. 1-100)
Juriatuli Lane
Jadunath Basak Lane
Banagram Road (Holding No. 1-158)
Mahajanpur Lane
Banagram Lane
Jogi Nagar Road & Lane
Chandranath Basak Street
Madan Pal Lane
Kunj Babu Road
Govinda Dutt Lane
Raghunath Das Lane
Rokanpur Lane
Panch Bhai Ghat Lane
Nasir Uddin Sardar Lane
Karkunbari Lane
Johnson Road
Kazi Abdur Rauf Road
Nandalal Dutt Lane
Navadwip Basak Lane
Rajchandra Munsi Bons Avenue (Lakshmi Bazar)
Haji Majid Lane
Shyama Prasad Chowdhury Lane
Ruplal Das Lane
Patalkhan Lane
Farashganj Lane
Farashganj Road
Ultiganj Lane
Malakar Tola Lane
North Brock Hall Road (Holding No. 39)
Madan Sahlen
Ishwar Das Lane
Harish Chandra Basu Street
Pratap Das Lane
BK Das Road
KG Gupta Lane
Joychandra Ghosh Lane
Paridas Road
Gopal Saha Lane
Mohini Mohan Das Lane
Purna Chandra Banerjee Lane
Rupchan Lane
Munshi Hari Mohan Das Lane
Anand Mohan Das Lane
Srish Das Lane
Hemendra Das Lane
Divendra Das Lane
Shuklal Das Lane
Manik Nagar
Manik Nagar Miyazan Lane
Kazirbagh
KM Das Lane
Abhaydas Lane
Toynbee Circular Road
Joykali Mandir Road (Ending at Holding No. 19)
Bhagwati Banerjee Road
Folder Street (Ending at Holding No. 9)
Hatkhola Road (Holding No-2-44/3)
r. K. Mission Road (Holding No. 1-91/1)
Dayaganj Road
Dayaganj Hatlen
Dayaganj Jalepara
Narinda Lane
Narinda Road (ending at Holding No. 54)
Saratgupta Road
Basu Bazar Lane
Munir Hossain Lane
Shah Saheb Lane
Methrapatri (North and South)
Gurudas Sarkar Lane
Karatitola Lane
Swamibagh Lane (End of Holding No. 19)
Swamibagh New Slum
Swamibagh Lane (Holding No. 1-18)
Lalmohan Shah Street
Bhajahari Saha Street
South Masundi
Wari Street
Joykali Mandir Road
(Holding No. 1-18) Nawab Street
Madan Mohan Basak Road
Tipu Sultan Road (Holding No. 15 / 3-37)
( Street
Padma Nidhi Lane
Hari Street Land Auxen Lane
Narinda Road (Holding No. 1-53)
Jorpul Lane Folder Street (Holding No. 1-4)
Chandi Charan Bose Street
Hatkhola Road and Baldha House (Holding No. 1)
Larmini Street Randha-Shyam Saha Street.
Kather Pool Lane (Bania Nagar)
Thakurdas Lane
Justice Lalmohan Das Lane
Rishikosh Das Road
Begumganj Lane
Municipal Staff Quarter (Bania Nagar)
Tanuganj Lane
Walter Road
Rebati Mohan Das Road (Holding No. 1-175)
Distrillery Road
Deen Nath Sen Road
Keshab Banerjee Road (Holding No. 92-99)
Shashibhushan Chatterjee Lane
Rajni Chowdhury Road
Former Sarafat Ganj Lane
Satyendra Kumar Das Road
Mill Barracks and Police Line
Keshab Banerjee Road (Holding No. 1-87/2)
Akshay Das Lane
Shankhari Nagar Lane
Haricharan Roy Road (Holding No. 1-14
49-56)
Alamganj Road
Dhalkanagar Lane ( Holding No. 1-44
71-105)
Satish Sarkar Road
Lal Mohan Poddar Lane
Postagola; Dhaka Cotton Mills
Haricharan Roy Road (Holding No-15-48)
Bahadurpur Lane
Gandaria RAJUK Plots 1 & 2
Nabin Chandra Gombasi Road
Faridabad Lane
Bangladesh Bank Colony
Dhalka Nagar Lane (Holding No. 45-70)
Sayedabad
North Jatrabari 1 and 2.
Brahman Chiran
Dhalpur.
West Jatrabari
and North-West Jatrabari
North Jatrabari
South-East Jatrabari
Wapda Colony
South Jatrabari.
Mir Hazaribagh
Dholai Par
Par Gandaria.
Muradpur-1 (Holding No. 1-46)
Muradpur 2
3 and 4.
West Jurain Muradpur-1 (Holding No. 1-46)
Karim Ullarbagh
New Jurain Alam Bagh
West Jurain (including shrine area)
Deilla
Paiti
Kayetpara
Thulthulia
Khalapara
Tamburabad
Nalchhata
Dhitpur
Durgapur
Mendipur
Amulia
Shunya
Shunya Tengra
Nandipara Ward No. 1 (West Nandipara
Rasulbagh
North Nandipara)
Nandipara Ward No. 2 (Central Nandipara
Nandipara School Road
Imambagh)
Nandipara Ward No. 3 (Nandipara
East Nandipara
Newazbagh
Bank Colony)
Idarkandi
Fakir Khali
Balur Par
Babu’s Place
Daserkandi
Jorvita
Trimohoni Purbapara
Lion Hati
Trimohoni
Imambagh
Uttargaon
Trimohoni Tekpara
Trimohoni 6th Ward
Gournagar Islambagh
Nasirabad
Nasirabad
From Green Model Town to Kazi Bari
from the west side of Kazi Bari to the east side of Danaber Alley
from the west side of Danaber Alley to the east side of Hiru Mia Road
from the west side of Hiru Mia Road to the east side of Lal Mia Road
from the west side of Lal Mia Road to Manda Khal
From the bank of Manda canal to the west side of Sona Mia Road
from the east side of Sona Mia Road to the west side of Gani Mistry Road
from the east side of Gani Mistry Road to the west side of Jale Para Road
from the east side of Jale Para Road to Green Model Town
Nandipara Bazar
Dakshingaon Nayabagh
Kusumbag
Dakshingaon Paschimpara
Dakshingaon
Dakshingaon Daspara
Dakshingaon 7 Road
Dakshingaon Shahibaug
Begunbari
Manikdia
Uttar Manikdia
Chairmanbari
Vaigdia
Dogair (East) Old (Part of ward no. 7)
Bamail
Dogair (East) Old (Part of ward no. 8)
Dogair West
Shakursi Joka
Sandira Joka Titas Colony
Part of Sandira Joka Mouza (East West Boxnagar and Karim Colony)
Sarulia Tengra (South
West and Outer)
Sarulia Tengra Karim Jute Mills Area (Part of ward no. 1)
Sarulia Tengra Karim Jute Mills Area (Part of ward no. 5)
Gop South Haji Nagar
Sarulia Tengra (South
West and Outer Tengra Rasul Nagar)
Kamar Gop Khalapara
Kamar Gop Dakshin
Demra
Ahmed Bawani Textile Mill
Latif Bawani Jute Mill
Naraibagh
Mirpara
Rajakhali
North Kutubkhali
South Kajla
South Kajla (Nayangan)
Sontek
Shekhadi
Gobindpur
North Rayerbagh
Kajlar Par
Bhanga Press
Kazirgaon
Matuail Paschimpara
Matuail Majhpara
Matuail Uttarpara
Matuail Sharif Para
Konapara
Old Parad Gair
IR Tubes Factory
Dharmik Para
City Mills
Mallikpara
Para Dogar New Para
 Momen Bagh
Adarshbagh
Rahmatpur
Madhubagh
Muslimnagar
Mughal Nagar
Khuriapara
Kerani Para
Dakshin Para
Bhuiyan Bari
Khanbari
Rayer Bagh
Hashem Road
Rayerbagh Khanka
Matuail Medical & Saddam Market
Tushardhara and Bishwar Road
Kadamtali
Kadamtali Industrial Area-1
New Kadamtali
New Shampur
Afsar Karim Road
Bau-Bazar
Gas Pipe
Nama Shampur (Part of ward no. 4)
Bagan Bari Bagicha
New WASA Road
Nama Shampur (Part of ward no. 5)
Ali Bahr
Rajabari
Natun Ali Bahr (Bikrampur Housing)
Chakdah
Dhaka Match
RAJUK 2nd phase
WASA Colony
Munshikhola Oil Mill
East Kadamtali
Mohammadbagh
Merajnagar
Nurpur-1
Nurpur-2
Paterbagh
Muktadhara
Islambagh (Rasulbagh
Rahmatbagh
Shahjalalbagh)
Palashpur
Jantabagh
Smritidhara
South Rayerbagh
Merajnagar (part of Doniya)
Madinabagh
South Jantabagh
Nurbagh
Old Doniya-1
Old Doniya -2
South Doniya -1
South Doniya -2
Saraim South Qutubkhali
Kabirajbagh
Rasulpru (Part of ward no. 3)
Rasulpur (Part of ward no. 4)
Daspara
Nayapara
North Doniya
Sector 1 to 10 of Uttara Model Town
Abdullapur (partial)
Purakarai (partial)
Shailpur (partial)
Faidabad (partial)
Baunia (partial)
Dakshin Khan (partial)
and Ranavola (partial).
Khilkhet
Kuril
Kuratali
Joarsahara
Olipara (partial)
Jagannathpur
Nikunja 1
Nikunja 2
Haji camp
Bashundhara R/A
Jamuna Future Park
Tanpara.
Mirpur Section-12
North Kalshi
Mirpur Section-9
Burir Tech. 
Kalshi Sarkar Bari
Extended Sagupta.
Mirpur Section-10
Mirpur Section-11
Medina Nagar
Mirpur Section-13
Mirpur Section 13 / A
Mirpur Section 13 / B
Mirpur Section 13 / C
Tinsed
Mirpur Section 14
Baishteki
Mirpur Section 15.
Mirpur Section 11
Mirpur Section 11
Palashnagar.
Pallabi
Extended Pallabi
New Pallabi 
Mirpur Section 6
Milkvita Road
Sujatnagar
Harunabad
Mallika Housing Arambagh
Arifabad
Chhayanir
Mirpur Section 6
Block-C
Block-D
Block-E
Block-T
Block-J
Alubdi
Duaripara
6-J
Rupnagar Tinshed and Easton Housing second phase area
Mirpur Section 2
Block-A
Block-B
Block-C
Block-D
Block-E
Block-F
Block-G
(1)
Block-H
Block-K
Block-J 
Rupargarh Residential Area 
Mirpur Section-6 
Block-A
Mirpur Section-2
Block-C
Duaripara
Mirpur Section-1
Wapda Colony
Block-A
Block-B
Block-C
Block-D
Block-E
Block-F
Block-G
Block-H
Commercial Plots
Local House
House B
House C
Al Kamal Housing
Zoo Residential Area
Nawab Bagh
Goran Chatbari
BISF Staff Quarters
Kumirshah Mazar & Box Nagar
North Bishal
Priyanka Housing (Section-1) New C Block
Botanical Garden Residential Area.
Manikdi
Matikata
Balughat
Lalarasai
Dhamalcourt
Alubdirtech
Baigartech
Barontech
Bhashantech.
Baridhara Residential Area Block- I
K & J Kalachandpur
Nardda
Shahjadpur 
Banani
Gulshan 1 
Gulshan 2
Karail.
Mohakhali
Mohakhali- Gulshan 1 Link Road
Institute of Public Health and Niketan
North Badda
South Badda
Central Badda
East Merul Badda
West Merul Badda and Gupipara Badda.
Bansree
West Rampura
East Rampura
Ulan
Bagichar Tech
Nasir Tech
Omar Ali Lane
West Hajipara
Badda to Gulshan-1 Link Road.
Khilgaon
Khilgaon East Hajipara
Malibagh Chowdhury Para 
Malibagh 
Malibagh Bazar Road
Sabujbagh part
Tejgaon Industrial Area
Begunbari
Kunipara.
Nakhalpara
Arjatpara
Civil Aviation Staff Quarters.
Boromagbazar
Dilurod
New Eskaton Road
West Magbazar
Madhya Peyarabagh
Greenway
North Nayatola 1st part.
Mirertech
Mirbagh
Madhubag
North Nayatola 2nd Part
East Nayatola
South Nayatola
Magbazar Wireless Colony.
Golartech
Chhota Dayabari
Boro Dayabari
Zahurabad
Anandnagar
Kotbari
Charani Para
Baroanipara
Bagbari
Harirampur
Kar Bazar
Jahanabad
Ishipara
Rbadhan Bari
Gabtali Bus Terminal
Gabtali Bazar
Gabtali Bazar Raw market.
Mazar Road
Darussalam Area
Gaidartek
Lalkuthi
Baten Nagar Residential Area.
Kalyanpur
Paikpara
Madhya Paikpara
Darussalam Road (partial).
Ahmednagar
Shahalibagh
South Bishil
Paikpara
Tolarbagh (North
Central and South).
Borobagh
Manipur
Pirerbagh North
Pirerbagh South
Pirerbagh West
Pirerbagh East
Shewrapara 
Rokeya Smarani
Mirpur Road
Senpara Parbata
Kazipara West 
Kazipara East
Shewrapara (West and East).
Kafrul
North Kafrul
South Kafrul
West Kafrul (Taltala)
Ibrahimpur
Kachukhet Road.
Karwan Bazar Commercial Area
Karwan Bazar Lane
Kazi Nazrul Islam Avenue (Farmgate)
Green Road
Tejturi Bazar East
Tejturi Bazar West
Station Road
Tejkunipara (Shaheed Bir Uttam Ziaur Rahman Road
Bashundhara City Market).
Testuri Bazar Chowk
Testuri Bazar Chowklen
Sajal Square
Green Road
Bir Uttam KM
Shafiullah Road
Manipuri Para
Bir Uttam Shaheed Ziaur Rahman Road.
Shyamoli Bagh
West Agargaon
Agargaon Administrative Area.
Mohammadpur Block-C
Taj Mahal Road Block-F
Shahjahan Road
Metropolitan Housing
Co-operative Housing Society
Mohpur-F
Juhuri Mahalla.
Baitul Aman Housing
Pisciculture Housing
Naboday Housing
Prominent Panthshala Housing
Turag Housing
Akkach Housing
Beribadh Ibne sina Housing
Ekta Housing
Uttar Adabor
Mohammadpur
Dhaka. Mofiz Housing
Mehedi Bagh Housing
Unique Housing
Adarsh Chayanir
Mohammadpur Housing
Adabar and Secretech
Azam Road
Asad Avenue
Razia Sultana Road
Taj Mahal Road
Shera Shahsuri Road
Nurjahan Road
Zakir Hossain Road
Shahjahan Road
Aurangzeb Road 
Kazi Nazrul Islam Road.
Lalmatia Block-A
Lalmatia Block-B
Lalmatia Block-C
Lalmatia Block-D
Lalmatia Block-E
Laamatia Block-F
Lalmatia Block-G
Sir Syed Road
Humayun Road
Babar Road
Iqbal Road
Aurangzeb Road 
Khilji Road
Asad Avenue
Mohpur Colony
Md. Pur Co-operative Housing Society Ltd. Block-A
Ghaznabi Road
(PCCulture) Lalmatia Housing Estate New Colony.
Mohammadia Housing Limited
Mohammadia Housing Society
Kaderabad Housing Estate
Katasur
Bashbari
Chanmia Housing & Chand Housing
Chand Udyan Bachila
Bachila Road
Nabinagar Housing
Dhaka Udyan
Dhaka S&L. Town
Beri Dam
Bochila Model Town
Chandrima Model Town
Bochila City Developers
Satmasjid Housing Cooperative Society Ltd.
Japan Garden City
Bijnibivar Housing
Naboday Housing
Brothers
Future Town
Latif Real House,
West Dhanmondi
Mother Care Hospital
Sultanganj
Rayer Bazar East
Zafarabad
Metro Housing.
Uttara Model Town 11 to 14 Sector
Bailjuri (partial).
Bailjuri (partial)
Baunia (partial)
Dalipara
Ahalia
Pakuria
Badaldi
Uludaha
Chandura
Tafalia
Mandura
Sholahati.
Nalbhog
Nayanagar
Shukrabhanga
Dharangartech
Purankalia
Sheikhdirtek
Diabari
Tarartek
Nimtalirtek
Chandalbhog
Ranavola (partial)
Fulbaria
Dhur (partial)
Bamnartech.
Roshadia (partial)
Kamarpara
Kaliartech
Khairtech
Bhatulia
Nayanichala
Rajabari
Dhour (partial)
Ashutia
Gram Bhatulia.
Faidabad
Kotbari
Moushair
and Chalaban.
Dakshin Khan
Sonar Khola
Halan
Anal
Barua and Jamun.
Kawlar
Ashkona
and Gawair.
Mollartek
Irshal and Azampur.
Amaiya
Barbari
Chamurkhan
Kanchkura
Snanghata
Bhaturia
Palashia
Chhota Palashia
Poradia
Ratuti
Varardi
Aktertek
Bauthar
Betuli
Karim’s Bagh and Dobadia.
Uttarkhan (southern part) and Uttarkhan (northern part).
Babur Para
Barbagh
Oja Para
Rajabari
Munda
Poolar Tech
Bhatulia
Mausaid
Baduri Para
Chanpara
Faujarbari
Gobindpur
Khanjurdia
Kumud Khola
Mainartech
Ninnirtek
Noakhola
Sauwartek.
Nurerchala West
Nurerchala East
KhilbariTech West and KhilbariTech East.
Bhatara (partial)
Chholmaid
Nayanagar North and Nayanagar South.
Talna
Dhelna
Nakuni
Manjertech
Mastul
Patira
Dumni
Kanthaldia
Bagdia and Amdia.
Daokandi
Tekpara Badda
Sona Katra
Sekandarbagh
Madhya Badda
Mollapara
Beparipara
Post Office Road and Louhertech.
Madhyapara
Mollapara
Mollapara Adarsh Nagar
Uttar Badda Purbapara
Uttar Badda Mainartek
Bawalipara
Uttar Badda Purbapara (Abdullahbagh)
Uttar Badda Mishri Tola
Uttar Badda Hajipara.
Pukurpara
Dakshinpara
Taltola
Uttarpara West
Uttarpara East
Panchkhola
Merulkhola
Magardia
East Padardia
West Padardia.
Boro Beraid Purbapara
Boro Beraid Bhuiyanpara
Boro Beraid Rishipara
Boro Beraid Araddapara
Chhota Beraid Dagardia
Ashkartek
Chandertek
Panchdirtek
Harardia
Boro Beraid Moralpara (North)
Boro Beraid Moralpara (South)
Boro Beraid Agarpara
Boro Beraid Chatkipara
Boro Beraid Chinadipara
Fakirkhali
